Current VTU:,103
Complete Jobs:,3
Rejected Jobs:,1
Average Hole:,140
Total Fragmented Bytes:,40
Storage Utilization:,84.44444
,
Current VTU:,218
Complete Jobs:,6
Rejected Jobs:,2
Average Hole:,95
Total Fragmented Bytes:,40
Storage Utilization:,78.333336
,
Current VTU:,328
Complete Jobs:,9
Rejected Jobs:,2
Average Hole:,108.333336
Total Fragmented Bytes:,40
Storage Utilization:,63.333332
,
Current VTU:,403
Complete Jobs:,11
Rejected Jobs:,3
Average Hole:,95
Total Fragmented Bytes:,60
Storage Utilization:,57.22222
,
Current VTU:,513
Complete Jobs:,14
Rejected Jobs:,3
Average Hole:,100
Total Fragmented Bytes:,60
Storage Utilization:,38.333332
,
Current VTU:,608
Complete Jobs:,17
Rejected Jobs:,4
Average Hole:,101.666664
Total Fragmented Bytes:,60
Storage Utilization:,31.666666
,
Current VTU:,728
Complete Jobs:,21
Rejected Jobs:,5
Average Hole:,94.666664
Total Fragmented Bytes:,90
Storage Utilization:,20.555555
,
Current VTU:,808
Complete Jobs:,25
Rejected Jobs:,16
Average Hole:,40
Total Fragmented Bytes:,220
Storage Utilization:,72.77778
,
Current VTU:,928
Complete Jobs:,28
Rejected Jobs:,16
Average Hole:,47.142857
Total Fragmented Bytes:,220
Storage Utilization:,60.555557
,
Current VTU:,1023
Complete Jobs:,31
Rejected Jobs:,16
Average Hole:,59.411766
Total Fragmented Bytes:,220
Storage Utilization:,41.11111
,
Current VTU:,1103
Complete Jobs:,35
Rejected Jobs:,23
Average Hole:,42.5
Total Fragmented Bytes:,330
Storage Utilization:,59.444443
,
Current VTU:,1228
Complete Jobs:,40
Rejected Jobs:,33
Average Hole:,43.157894
Total Fragmented Bytes:,330
Storage Utilization:,51.11111
,
Current VTU:,1313
Complete Jobs:,43
Rejected Jobs:,33
Average Hole:,49.545456
Total Fragmented Bytes:,330
Storage Utilization:,36.11111
,
Current VTU:,1433
Complete Jobs:,46
Rejected Jobs:,37
Average Hole:,47.391304
Total Fragmented Bytes:,330
Storage Utilization:,35
,
Current VTU:,1523
Complete Jobs:,48
Rejected Jobs:,37
Average Hole:,48.260868
Total Fragmented Bytes:,330
Storage Utilization:,33.333332
,
Current VTU:,1608
Complete Jobs:,52
Rejected Jobs:,42
Average Hole:,50.869564
Total Fragmented Bytes:,330
Storage Utilization:,28.88889
,
Current VTU:,1708
Complete Jobs:,54
Rejected Jobs:,46
Average Hole:,47.272728
Total Fragmented Bytes:,330
Storage Utilization:,36.11111
,
Current VTU:,1803
Complete Jobs:,57
Rejected Jobs:,46
Average Hole:,48.8
Total Fragmented Bytes:,330
Storage Utilization:,26.11111
,
Current VTU:,1918
Complete Jobs:,61
Rejected Jobs:,60
Average Hole:,48.333332
Total Fragmented Bytes:,330
Storage Utilization:,28.333334
,
Current VTU:,2018
Complete Jobs:,64
Rejected Jobs:,66
Average Hole:,45.652172
Total Fragmented Bytes:,380
Storage Utilization:,33.88889
,
Current VTU:,2128
Complete Jobs:,66
Rejected Jobs:,66
Average Hole:,48
Total Fragmented Bytes:,380
Storage Utilization:,25.555555
,
Current VTU:,2228
Complete Jobs:,68
Rejected Jobs:,80
Average Hole:,42.916668
Total Fragmented Bytes:,380
Storage Utilization:,35
,
Current VTU:,2318
Complete Jobs:,71
Rejected Jobs:,80
Average Hole:,46.666668
Total Fragmented Bytes:,380
Storage Utilization:,22.222221
,
Current VTU:,2448
Complete Jobs:,74
Rejected Jobs:,81
Average Hole:,44.642857
Total Fragmented Bytes:,380
Storage Utilization:,22.777779
,
Current VTU:,2503
Complete Jobs:,76
Rejected Jobs:,81
Average Hole:,47
Total Fragmented Bytes:,380
Storage Utilization:,13.888889
,
Current VTU:,2603
Complete Jobs:,80
Rejected Jobs:,97
Average Hole:,36.666668
Total Fragmented Bytes:,500
Storage Utilization:,31.11111
,
Current VTU:,2713
Complete Jobs:,84
Rejected Jobs:,133
Average Hole:,37.741936
Total Fragmented Bytes:,500
Storage Utilization:,26.666666
,
Current VTU:,2808
Complete Jobs:,88
Rejected Jobs:,141
Average Hole:,40
Total Fragmented Bytes:,500
Storage Utilization:,17.777779
,
Current VTU:,2928
Complete Jobs:,92
Rejected Jobs:,161
Average Hole:,39.032257
Total Fragmented Bytes:,500
Storage Utilization:,23.88889
,
Current VTU:,3008
Complete Jobs:,94
Rejected Jobs:,164
Average Hole:,40.3125
Total Fragmented Bytes:,500
Storage Utilization:,19.444445
,
Current VTU:,3138
Complete Jobs:,98
Rejected Jobs:,178
Average Hole:,39.696968
Total Fragmented Bytes:,500
Storage Utilization:,18.333334
,
Current VTU:,3228
Complete Jobs:,101
Rejected Jobs:,186
Average Hole:,38.75
Total Fragmented Bytes:,500
Storage Utilization:,21.666666
,
Current VTU:,3333
Complete Jobs:,104
Rejected Jobs:,238
Average Hole:,34.814816
Total Fragmented Bytes:,500
Storage Utilization:,37.77778
,
Current VTU:,3413
Complete Jobs:,107
Rejected Jobs:,254
Average Hole:,35.185184
Total Fragmented Bytes:,500
Storage Utilization:,37.22222
,
Current VTU:,3533
Complete Jobs:,110
Rejected Jobs:,308
Average Hole:,29.545454
Total Fragmented Bytes:,500
Storage Utilization:,53.88889
,
Current VTU:,3608
Complete Jobs:,113
Rejected Jobs:,338
Average Hole:,29.047619
Total Fragmented Bytes:,500
Storage Utilization:,55.555557
,
Current VTU:,3703
Complete Jobs:,115
Rejected Jobs:,367
Average Hole:,28.5
Total Fragmented Bytes:,500
Storage Utilization:,57.22222
,
Current VTU:,3823
Complete Jobs:,119
Rejected Jobs:,385
Average Hole:,30.47619
Total Fragmented Bytes:,500
Storage Utilization:,52.77778
,
Current VTU:,3938
Complete Jobs:,122
Rejected Jobs:,385
Average Hole:,33.333332
Total Fragmented Bytes:,500
Storage Utilization:,43.88889
,
Current VTU:,4003
Complete Jobs:,124
Rejected Jobs:,385
Average Hole:,35.76923
Total Fragmented Bytes:,500
Storage Utilization:,36.666668
,
Current VTU:,4108
Complete Jobs:,126
Rejected Jobs:,385
Average Hole:,37.857143
Total Fragmented Bytes:,500
Storage Utilization:,29.444445
,
Current VTU:,4223
Complete Jobs:,129
Rejected Jobs:,385
Average Hole:,39.032257
Total Fragmented Bytes:,500
Storage Utilization:,21.11111
,
Current VTU:,4333
Complete Jobs:,132
Rejected Jobs:,399
Average Hole:,34.074074
Total Fragmented Bytes:,520
Storage Utilization:,35.555557
,
Current VTU:,4428
Complete Jobs:,137
Rejected Jobs:,457
Average Hole:,29.130434
Total Fragmented Bytes:,520
Storage Utilization:,48.333332
,
Current VTU:,4503
Complete Jobs:,140
Rejected Jobs:,457
Average Hole:,31.538462
Total Fragmented Bytes:,520
Storage Utilization:,40
,
Current VTU:,4603
Complete Jobs:,144
Rejected Jobs:,475
Average Hole:,32.857143
Total Fragmented Bytes:,520
Storage Utilization:,33.88889
,
Current VTU:,4733
Complete Jobs:,147
Rejected Jobs:,481
Average Hole:,33.793102
Total Fragmented Bytes:,520
Storage Utilization:,30
,
Current VTU:,4828
Complete Jobs:,150
Rejected Jobs:,481
Average Hole:,35.625
Total Fragmented Bytes:,520
Storage Utilization:,21.11111
,
Current VTU:,4903
Complete Jobs:,153
Rejected Jobs:,487
Average Hole:,36.764706
Total Fragmented Bytes:,520
Storage Utilization:,15
