Current VTU:,103
Complete Jobs:,3
Rejected Jobs:,0
Average Hole:,NaN
Total Fragmented Bytes:,0.0
Storage Utilization:,98.888885

Current VTU:,243
Complete Jobs:,7
Rejected Jobs:,1
Average Hole:,NaN
Total Fragmented Bytes:,0.0
Storage Utilization:,98.333336

Current VTU:,303
Complete Jobs:,9
Rejected Jobs:,3
Average Hole:,95.0
Total Fragmented Bytes:,0.0
Storage Utilization:,87.77778

Current VTU:,423
Complete Jobs:,13
Rejected Jobs:,3
Average Hole:,101.666664
Total Fragmented Bytes:,0.0
Storage Utilization:,64.44444

Current VTU:,503
Complete Jobs:,15
Rejected Jobs:,3
Average Hole:,67.5
Total Fragmented Bytes:,80.0
Storage Utilization:,68.333336

Current VTU:,643
Complete Jobs:,21
Rejected Jobs:,6
Average Hole:,56.42857
Total Fragmented Bytes:,150.0
Storage Utilization:,54.444443

Current VTU:,718
Complete Jobs:,24
Rejected Jobs:,6
Average Hole:,65.29412
Total Fragmented Bytes:,150.0
Storage Utilization:,36.666668

Current VTU:,803
Complete Jobs:,27
Rejected Jobs:,10
Average Hole:,67.77778
Total Fragmented Bytes:,150.0
Storage Utilization:,30.0

Current VTU:,908
Complete Jobs:,30
Rejected Jobs:,11
Average Hole:,61.42857
Total Fragmented Bytes:,200.0
Storage Utilization:,26.11111

Current VTU:,1008
Complete Jobs:,32
Rejected Jobs:,15
Average Hole:,59.04762
Total Fragmented Bytes:,220.0
Storage Utilization:,28.88889

Current VTU:,1113
Complete Jobs:,37
Rejected Jobs:,36
Average Hole:,54.545456
Total Fragmented Bytes:,220.0
Storage Utilization:,30.555555

Current VTU:,1238
Complete Jobs:,40
Rejected Jobs:,40
Average Hole:,48.0
Total Fragmented Bytes:,240.0
Storage Utilization:,42.77778

Current VTU:,1313
Complete Jobs:,42
Rejected Jobs:,40
Average Hole:,48.095238
Total Fragmented Bytes:,240.0
Storage Utilization:,40.0

Current VTU:,1438
Complete Jobs:,46
Rejected Jobs:,42
Average Hole:,51.363636
Total Fragmented Bytes:,240.0
Storage Utilization:,32.22222

Current VTU:,1513
Complete Jobs:,49
Rejected Jobs:,42
Average Hole:,55.6
Total Fragmented Bytes:,240.0
Storage Utilization:,17.777779

Current VTU:,1623
Complete Jobs:,52
Rejected Jobs:,48
Average Hole:,42.38095
Total Fragmented Bytes:,280.0
Storage Utilization:,45.0

Current VTU:,1728
Complete Jobs:,55
Rejected Jobs:,48
Average Hole:,45.0
Total Fragmented Bytes:,300.0
Storage Utilization:,34.444443

Current VTU:,1818
Complete Jobs:,58
Rejected Jobs:,60
Average Hole:,43.47826
Total Fragmented Bytes:,300.0
Storage Utilization:,37.77778

Current VTU:,1908
Complete Jobs:,62
Rejected Jobs:,60
Average Hole:,48.88889
Total Fragmented Bytes:,300.0
Storage Utilization:,20.0

Current VTU:,2018
Complete Jobs:,70
Rejected Jobs:,101
Average Hole:,37.61905
Total Fragmented Bytes:,330.0
Storage Utilization:,47.22222

Current VTU:,2118
Complete Jobs:,72
Rejected Jobs:,101
Average Hole:,39.565216
Total Fragmented Bytes:,330.0
Storage Utilization:,40.555557

Current VTU:,2213
Complete Jobs:,74
Rejected Jobs:,112
Average Hole:,33.5
Total Fragmented Bytes:,350.0
Storage Utilization:,53.333332

Current VTU:,2323
Complete Jobs:,78
Rejected Jobs:,122
Average Hole:,35.454544
Total Fragmented Bytes:,350.0
Storage Utilization:,47.22222

Current VTU:,2443
Complete Jobs:,82
Rejected Jobs:,154
Average Hole:,32.38095
Total Fragmented Bytes:,370.0
Storage Utilization:,51.666668

Current VTU:,2503
Complete Jobs:,84
Rejected Jobs:,176
Average Hole:,32.38095
Total Fragmented Bytes:,370.0
Storage Utilization:,51.11111

Current VTU:,2633
Complete Jobs:,87
Rejected Jobs:,184
Average Hole:,34.347828
Total Fragmented Bytes:,370.0
Storage Utilization:,45.0

Current VTU:,2748
Complete Jobs:,90
Rejected Jobs:,188
Average Hole:,35.652172
Total Fragmented Bytes:,370.0
Storage Utilization:,43.333332

Current VTU:,2833
Complete Jobs:,93
Rejected Jobs:,190
Average Hole:,37.6
Total Fragmented Bytes:,370.0
Storage Utilization:,36.666668

Current VTU:,2948
Complete Jobs:,95
Rejected Jobs:,201
Average Hole:,36.666668
Total Fragmented Bytes:,370.0
Storage Utilization:,39.444443

Current VTU:,3013
Complete Jobs:,97
Rejected Jobs:,205
Average Hole:,34.583332
Total Fragmented Bytes:,390.0
Storage Utilization:,42.22222

Current VTU:,3118
Complete Jobs:,100
Rejected Jobs:,205
Average Hole:,38.51852
Total Fragmented Bytes:,390.0
Storage Utilization:,30.555555

Current VTU:,3218
Complete Jobs:,104
Rejected Jobs:,205
Average Hole:,42.580647
Total Fragmented Bytes:,390.0
Storage Utilization:,15.0

Current VTU:,3303
Complete Jobs:,109
Rejected Jobs:,227
Average Hole:,41.666668
Total Fragmented Bytes:,390.0
Storage Utilization:,18.88889

Current VTU:,3408
Complete Jobs:,112
Rejected Jobs:,246
Average Hole:,38.96552
Total Fragmented Bytes:,390.0
Storage Utilization:,25.555555

Current VTU:,3513
Complete Jobs:,116
Rejected Jobs:,266
Average Hole:,38.51852
Total Fragmented Bytes:,390.0
Storage Utilization:,30.555555

Current VTU:,3603
Complete Jobs:,119
Rejected Jobs:,269
Average Hole:,41.37931
Total Fragmented Bytes:,390.0
Storage Utilization:,21.666666

Current VTU:,3733
Complete Jobs:,122
Rejected Jobs:,269
Average Hole:,42.8125
Total Fragmented Bytes:,390.0
Storage Utilization:,12.222222

Current VTU:,3823
Complete Jobs:,125
Rejected Jobs:,272
Average Hole:,44.117645
Total Fragmented Bytes:,390.0
Storage Utilization:,5.0

Current VTU:,3943
Complete Jobs:,128
Rejected Jobs:,299
Average Hole:,43.333332
Total Fragmented Bytes:,390.0
Storage Utilization:,8.888889

Current VTU:,4048
Complete Jobs:,130
Rejected Jobs:,319
Average Hole:,42.0
Total Fragmented Bytes:,390.0
Storage Utilization:,18.333334

Current VTU:,4103
Complete Jobs:,132
Rejected Jobs:,328
Average Hole:,39.642857
Total Fragmented Bytes:,390.0
Storage Utilization:,26.666666

Current VTU:,4218
Complete Jobs:,135
Rejected Jobs:,328
Average Hole:,41.935482
Total Fragmented Bytes:,390.0
Storage Utilization:,16.11111

Current VTU:,4303
Complete Jobs:,137
Rejected Jobs:,332
Average Hole:,41.612904
Total Fragmented Bytes:,390.0
Storage Utilization:,16.666666

Current VTU:,4403
Complete Jobs:,140
Rejected Jobs:,348
Average Hole:,39.655174
Total Fragmented Bytes:,390.0
Storage Utilization:,24.444445

Current VTU:,4523
Complete Jobs:,145
Rejected Jobs:,357
Average Hole:,43.4375
Total Fragmented Bytes:,390.0
Storage Utilization:,11.111111

Current VTU:,4628
Complete Jobs:,148
Rejected Jobs:,365
Average Hole:,43.030304
Total Fragmented Bytes:,390.0
Storage Utilization:,9.444445

Current VTU:,4723
Complete Jobs:,151
Rejected Jobs:,384
Average Hole:,40.0
Total Fragmented Bytes:,390.0
Storage Utilization:,25.555555

Current VTU:,4813
Complete Jobs:,154
Rejected Jobs:,432
Average Hole:,33.333332
Total Fragmented Bytes:,390.0
Storage Utilization:,47.77778

Current VTU:,4928
Complete Jobs:,157
Rejected Jobs:,432
Average Hole:,37.5
Total Fragmented Bytes:,390.0
Storage Utilization:,36.666668