Current VTU:,109
Complete Jobs:,4
Rejected Jobs:,0
Average Hole:,122.5
Total Fragmented Bytes:,0.0
Storage Utilization:,72.77778

Current VTU:,249
Complete Jobs:,7
Rejected Jobs:,0
Average Hole:,128.57143
Total Fragmented Bytes:,0.0
Storage Utilization:,50.0

Current VTU:,309
Complete Jobs:,9
Rejected Jobs:,1
Average Hole:,118.888885
Total Fragmented Bytes:,0.0
Storage Utilization:,40.555557

Current VTU:,404
Complete Jobs:,13
Rejected Jobs:,2
Average Hole:,112.5
Total Fragmented Bytes:,0.0
Storage Utilization:,24.444445

Current VTU:,544
Complete Jobs:,17
Rejected Jobs:,3
Average Hole:,108.0
Total Fragmented Bytes:,0.0
Storage Utilization:,9.444445

Current VTU:,624
Complete Jobs:,19
Rejected Jobs:,19
Average Hole:,80.666664
Total Fragmented Bytes:,100.0
Storage Utilization:,31.11111

Current VTU:,704
Complete Jobs:,21
Rejected Jobs:,19
Average Hole:,77.64706
Total Fragmented Bytes:,100.0
Storage Utilization:,25.0

Current VTU:,819
Complete Jobs:,26
Rejected Jobs:,26
Average Hole:,71.5
Total Fragmented Bytes:,180.0
Storage Utilization:,18.333334

Current VTU:,904
Complete Jobs:,32
Rejected Jobs:,55
Average Hole:,56.95652
Total Fragmented Bytes:,280.0
Storage Utilization:,23.88889

Current VTU:,1004
Complete Jobs:,34
Rejected Jobs:,55
Average Hole:,59.6
Total Fragmented Bytes:,280.0
Storage Utilization:,13.888889

Current VTU:,1144
Complete Jobs:,39
Rejected Jobs:,60
Average Hole:,55.714287
Total Fragmented Bytes:,340.0
Storage Utilization:,9.444445

Current VTU:,1219
Complete Jobs:,42
Rejected Jobs:,65
Average Hole:,54.666668
Total Fragmented Bytes:,370.0
Storage Utilization:,5.0

Current VTU:,1314
Complete Jobs:,46
Rejected Jobs:,90
Average Hole:,50.0
Total Fragmented Bytes:,480.0
Storage Utilization:,10.0

Current VTU:,1404
Complete Jobs:,48
Rejected Jobs:,90
Average Hole:,50.0
Total Fragmented Bytes:,480.0
Storage Utilization:,4.4444447

Current VTU:,1529
Complete Jobs:,51
Rejected Jobs:,98
Average Hole:,47.142857
Total Fragmented Bytes:,520.0
Storage Utilization:,4.4444447

Current VTU:,1624
Complete Jobs:,53
Rejected Jobs:,140
Average Hole:,40.857143
Total Fragmented Bytes:,620.0
Storage Utilization:,16.11111

Current VTU:,1704
Complete Jobs:,56
Rejected Jobs:,140
Average Hole:,42.105263
Total Fragmented Bytes:,620.0
Storage Utilization:,6.6666665

Current VTU:,1814
Complete Jobs:,61
Rejected Jobs:,149
Average Hole:,41.53846
Total Fragmented Bytes:,620.0
Storage Utilization:,3.8888888

Current VTU:,1919
Complete Jobs:,63
Rejected Jobs:,158
Average Hole:,39.5
Total Fragmented Bytes:,660.0
Storage Utilization:,5.5555553

Current VTU:,2024
Complete Jobs:,65
Rejected Jobs:,179
Average Hole:,39.0
Total Fragmented Bytes:,660.0
Storage Utilization:,6.111111

Current VTU:,2104
Complete Jobs:,68
Rejected Jobs:,214
Average Hole:,38.75
Total Fragmented Bytes:,660.0
Storage Utilization:,6.111111

Current VTU:,2229
Complete Jobs:,72
Rejected Jobs:,236
Average Hole:,38.0
Total Fragmented Bytes:,660.0
Storage Utilization:,6.111111

Current VTU:,2304
Complete Jobs:,75
Rejected Jobs:,316
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,3.3333333

Current VTU:,2422
Complete Jobs:,78
Rejected Jobs:,360
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,2503
Complete Jobs:,79
Rejected Jobs:,374
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,2604
Complete Jobs:,79
Rejected Jobs:,397
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,2701
Complete Jobs:,79
Rejected Jobs:,417
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,2836
Complete Jobs:,80
Rejected Jobs:,433
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,2903
Complete Jobs:,81
Rejected Jobs:,449
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3042
Complete Jobs:,82
Rejected Jobs:,466
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,3106
Complete Jobs:,82
Rejected Jobs:,483
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3208
Complete Jobs:,82
Rejected Jobs:,499
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3304
Complete Jobs:,82
Rejected Jobs:,520
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3407
Complete Jobs:,83
Rejected Jobs:,538
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3506
Complete Jobs:,83
Rejected Jobs:,557
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3608
Complete Jobs:,84
Rejected Jobs:,574
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3702
Complete Jobs:,84
Rejected Jobs:,590
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3803
Complete Jobs:,85
Rejected Jobs:,608
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,3908
Complete Jobs:,85
Rejected Jobs:,630
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4037
Complete Jobs:,88
Rejected Jobs:,644
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4102
Complete Jobs:,88
Rejected Jobs:,665
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4201
Complete Jobs:,88
Rejected Jobs:,684
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4316
Complete Jobs:,89
Rejected Jobs:,703
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4406
Complete Jobs:,90
Rejected Jobs:,721
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777

Current VTU:,4502
Complete Jobs:,90
Rejected Jobs:,743
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4601
Complete Jobs:,91
Rejected Jobs:,758
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4702
Complete Jobs:,92
Rejected Jobs:,778
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4802
Complete Jobs:,92
Rejected Jobs:,793
Average Hole:,38.333332
Total Fragmented Bytes:,660.0
Storage Utilization:,0.0

Current VTU:,4903
Complete Jobs:,94
Rejected Jobs:,805
Average Hole:,38.048782
Total Fragmented Bytes:,660.0
Storage Utilization:,2.7777777